filename,genre,songTitle,artistName,lyrics,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
blues.00000.wav,blues,"One Bourbon, One Scotch, One Beer",John Lee Hooker,"One brother, one's got two, and one bill The pin is the bottom, come here, I want another break, and I want another night My baby's got two, and I'm seeing my baby's their night, I'm full and one, brother, and one's got two",-113.6193848,121.5530167,-19.15105629,42.34576797,-6.37116766,18.61303329,-13.69206047,15.33937836,-12.28361702,10.97377491,-8.32240963,8.806787491,-3.665802002
blues.00001.wav,blues,I'm In the Mood,John Lee Hooker,"Baby, I'm in a move alone I said night time is the right time To be with the one you love Do you know where night come baby gone old You so far away, all in a mood Baby, I'm in a move",-207.5815125,123.9971466,8.939114571,35.87075806,2.919970512,21.51878738,-8.555368423,23.35593796,-10.10103703,11.9064436,-5.558122635,5.37594223,-2.237833023
blues.00002.wav,blues,Think Twice Before You Go (feat. Los Lobos),John Lee Hooker,"There's you and suffer with me, baby, then I know you paid you to do There's you and suffer with me, baby, then I know you paid you to do There's I know you paid you to do Say you need me when I need you Then you know you stand a cue",-90.7763443,140.4486084,-29.10055923,31.68733978,-13.97597313,25.74168205,-13.64471245,11.62311172,-11.77592087,9.700466156,-13.11534882,5.785763264,-8.89973259
blues.00003.wav,blues,I'm Bad Like Jesse James (Live),John Lee Hooker,"I'm there, I'm there, like just a jame, I had a friend one time, Lisa troublemaker",-199.4620056,150.0947418,5.649167061,26.87014389,1.755440593,14.2368803,-4.828872681,9.297848701,-0.75314188,8.147393227,-3.195235729,6.085353851,-2.476188183
blues.00004.wav,blues,Walkin' the Boogie,John Lee Hooker,"I didn't care what you didn't know I was flip-o and I hung What's the situation with you here? And I'm going to play because... Shh! I'm making you, here to play the violin I have a bit to talk about Now to get back out once again I won't let you go",-160.2918549,126.1957626,-35.60250092,22.15116882,-32.48764038,10.8620224,-23.35716248,0.500523329,-11.80477047,1.203877687,-13.08507442,-2.809848785,-6.935620785
blues.00005.wav,blues,Sugar Mama,John Lee Hooker,I'm forgetting only 6 songs i haven't had a lot of songs So it's long to get made Even After an award,-177.8887634,118.1895294,-17.55072975,30.75310135,-21.73210716,11.89854527,-20.73228073,3.176168919,-8.575770378,-0.940184414,-11.77379894,-2.426075935,-9.342486382
blues.00006.wav,blues,Dreamin' Blues,John Lee Hooker,My baby love me is morning People just around for a club She let me dream and dream and People that I will go try and,-190.1750183,130.2924194,-36.3484726,33.02909088,11.08568096,-0.596372485,-20.88235664,0.27711612,-6.500870705,-5.515623093,-7.845288754,-3.123599052,-6.595716
blues.00007.wav,blues,Ground Hog Blues,John Lee Hooker,"I'm not holding the rooting round my back go You never touch a rooting I'm in Loddy-wow-roon, the normal Yes he's standing and he watched me I'm on the way, I leave home",-179.4200745,136.4420929,-26.64433861,39.97959137,5.301814556,10.92123699,-20.55534744,8.507476807,-11.35435963,-3.46909833,-8.414113998,-6.956976891,-3.548348188
blues.00008.wav,blues,Shake It Baby,John Lee Hooker,"Sing it baby, say it baby One time, for me, one time, for me, for me, for me, for me, yes man I don't care Would you father",-121.3871155,122.505394,-14.73939419,46.13529205,-8.160384178,20.17050934,-19.16932106,23.05018806,-11.82593918,21.17341042,-6.720290661,7.005018711,-12.73990917
blues.00009.wav,blues,It's My Own Fault | Hey Baby (Medley),John Lee Hooker,"When you love me, I was going from town to town Why? But you give me one more chance Why? Why?",-213.2045288,115.154541,-11.72050285,39.03255463,-20.3578186,13.08992577,-9.180814743,9.023638725,-14.10102463,4.283337116,-6.044196129,3.786367893,0.223687381
